name,countryId,geoRegionId,cityId,townId,districtId,quarterId,districtName,updated,type,id
Başaran Mh.,1,0,16,190,902,10143,Kovukçınar,1.62276E+12,Quarter,10143
Gülbahçe Mh.,1,0,16,190,902,10144,Kovukçınar,1.62276E+12,Quarter,10144
Kemerçeşme Mh.,1,0,16,190,902,10145,Kovukçınar,1.62276E+12,Quarter,10145
Koğukçınar Mh.,1,0,16,190,902,10146,Kovukçınar,1.62276E+12,Quarter,10146
Selamet Mah.,1,0,16,190,902,10147,Kovukçınar,1.62276E+12,Quarter,10147
Doğanevler Mh.,1,0,16,190,902,10148,Kovukçınar,1.62276E+12,Quarter,10148
Küçükbalıklı Mh.,1,0,16,190,902,10149,Kovukçınar,1.62276E+12,Quarter,10149
Karagüveç Köyü,1,6,2,17,121,1014,Köyler,1.61192E+12,Quarter,1014
Panayır Mh.,1,0,16,190,902,10150,Kovukçınar,1.62276E+12,Quarter,10150
Yeşilova Mh.,1,0,16,190,902,10151,Kovukçınar,1.62276E+12,Quarter,10151
Atıcılar Mh.,1,0,16,190,902,10152,Kovukçınar,1.62276E+12,Quarter,10152
Namık Kemal Mh.,1,0,16,190,902,10153,Kovukçınar,1.62276E+12,Quarter,10153
Veysel Karani Mah.,1,0,16,190,902,10154,Kovukçınar,1.62276E+12,Quarter,10154
Zafer Mah.,1,0,16,190,902,10155,Kovukçınar,1.62276E+12,Quarter,10155
Altınova Mh.,1,0,16,190,902,10156,Kovukçınar,1.62276E+12,Quarter,10156
İsmetiye Mh.,1,0,16,190,902,10157,Kovukçınar,1.62276E+12,Quarter,10157
Akpınar Mh.,1,0,16,190,903,10158,Bağlarbaşı,1.62276E+12,Quarter,10158
Bağlarbaşı Mh.,1,0,16,190,903,10159,Bağlarbaşı,1.62276E+12,Quarter,10159
Kızılhisar Köyü,1,6,2,17,121,1015,Köyler,1.61192E+12,Quarter,1015
Hamitler Mah.,1,0,16,190,4761,10160,Osmangazi,1.62276E+12,Quarter,10160
Soğukkuyu Mh.,1,0,16,190,4761,10161,Osmangazi,1.62276E+12,Quarter,10161
Hürriyet Mh.,1,0,16,190,4761,10162,Osmangazi,1.62276E+12,Quarter,10162
Yenikaraman Mah.,1,0,16,190,903,10163,Bağlarbaşı,1.62276E+12,Quarter,10163
Adalet Mah.,1,0,16,190,903,10164,Bağlarbaşı,1.62276E+12,Quarter,10164
İstiklal Mh.,1,0,16,190,4761,10165,Osmangazi,1.62276E+12,Quarter,10165
Yunuseli Mah.,1,0,16,190,4761,10166,Osmangazi,1.62276E+12,Quarter,10166
Geçit Mh.,1,0,16,190,4761,10167,Osmangazi,1.62276E+12,Quarter,10167
Hasanağa OSB,1,0,16,189,4759,10169,Merkez,1.62276E+12,Quarter,10169
Kurugöl Köyü,1,6,2,17,121,1016,Köyler,1.61192E+12,Quarter,1016
Demirtaş Barbaros Mh.,1,0,16,190,904,10170,Demirtaş,1.62276E+12,Quarter,10170
Demirtaş Cumhuriyet Mh.,1,0,16,190,904,10171,Demirtaş,1.62276E+12,Quarter,10171
Demirtaş Sakarya Mh.,1,0,16,190,904,10172,Demirtaş,1.62276E+12,Quarter,10172
Ovaakça Merkez Mh.,1,0,16,190,905,10173,Ovaakça,1.62276E+12,Quarter,10173
Emek Adnan Menderes Mah.,1,0,16,190,906,10174,Emek,1.62276E+12,Quarter,10174
Emek Fatih Sultan Mehmet Mah.,1,0,16,190,906,10175,Emek,1.62276E+12,Quarter,10175
Emek Zekai Gümüşdiş Mh.,1,0,16,190,906,10176,"Emek, Genç Osman",1.62276E+12,Quarter,10176
İnkaya Mh.,1,0,16,190,908,10178,Köyler,1.62276E+12,Quarter,10178
Yiğitali Mh.,1,0,16,190,908,10179,Köyler,1.62276E+12,Quarter,10179
Oyalı Mh.,1,6,2,17,121,1017,Köyler,1.61192E+12,Quarter,1017
Ahmetbey Mh.,1,0,16,190,908,10180,Köyler,1.62276E+12,Quarter,10180
Aksungur Mh.,1,0,16,190,908,10181,Köyler,1.62276E+12,Quarter,10181
Avdancık Mh.,1,0,16,190,908,10182,Köyler,1.62276E+12,Quarter,10182
Çağlayan Mh.,1,0,16,190,908,10183,Köyler,1.62276E+12,Quarter,10183
Dağakça Mh.,1,0,16,190,908,10184,Köyler,1.62276E+12,Quarter,10184
Doğancı Mh.,1,0,16,190,908,10185,Köyler,1.62276E+12,Quarter,10185
Dürdane Mh.,1,0,16,190,908,10186,Köyler,1.62276E+12,Quarter,10186
Gökçeören Mh.,1,0,16,190,908,10187,Köyler,1.62276E+12,Quarter,10187
Gündoğdu Mh.,1,0,16,190,908,10188,Köyler,1.62276E+12,Quarter,10188
Hüseyinalan Mh.,1,0,16,190,908,10189,Köyler,1.62276E+12,Quarter,10189
Oyratlı Köyü,1,6,2,17,121,1018,Köyler,1.61192E+12,Quarter,1018
Karabalçık Mh.,1,0,16,190,908,10190,Köyler,1.62276E+12,Quarter,10190
Mürseller Mh.,1,0,16,190,908,10191,Köyler,1.62276E+12,Quarter,10191
Seç Mh.,1,0,16,190,908,10192,Köyler,1.62276E+12,Quarter,10192
Selçukgazi Mh.,1,0,16,190,908,10193,Köyler,1.62276E+12,Quarter,10193
Süleymaniye Mh.,1,0,16,190,908,10194,Köyler,1.62276E+12,Quarter,10194
Tuzaklı Mh.,1,0,16,190,908,10195,Köyler,1.62276E+12,Quarter,10195
Uluçam Mh.,1,0,16,190,908,10196,Köyler,1.62276E+12,Quarter,10196
Soğukpınar Mh.,1,0,16,190,908,10197,Köyler,1.62276E+12,Quarter,10197
Bağlı Mh.,1,0,16,190,908,10198,Köyler,1.62276E+12,Quarter,10198
Büyükdeliller Mh.,1,0,16,190,908,10199,Köyler,1.62276E+12,Quarter,10199
Taşlıyazı Köyü,1,6,2,17,121,1019,Köyler,1.61192E+12,Quarter,1019
Mürseloğlu Mh.,1,3,1,1,23,101,Köyler,1.62276E+12,Quarter,101
Çaybaşı Mh.,1,0,16,190,908,10200,Köyler,1.62276E+12,Quarter,10200
Güneybayır Mh.,1,0,16,190,908,10201,Köyler,1.62276E+12,Quarter,10201
Güneybudaklar Mh.,1,0,16,190,908,10202,Köyler,1.62276E+12,Quarter,10202
Karaislah Mh.,1,0,16,190,908,10203,Köyler,1.62276E+12,Quarter,10203
Küçükdeliller Mh.,1,0,16,190,908,10204,Köyler,1.62276E+12,Quarter,10204
Seferışıklar Mh.,1,0,16,190,908,10205,Köyler,1.62276E+12,Quarter,10205
Alaşarköy Mh.,1,0,16,190,908,10206,Köyler,1.62276E+12,Quarter,10206
Duaçınarı Mh.,1,0,16,191,909,10207,Duaçınarı,1.62276E+12,Quarter,10207
Kazım Karabekir Mh.,1,0,16,191,909,10208,Duaçınarı,1.62276E+12,Quarter,10208
Samanlı Mh.,1,0,16,191,909,10209,Duaçınarı,1.62276E+12,Quarter,10209
