"";"city_id";"town_id";"city_town";"district_neighborhood";"neighborhood_id";"subdivisions"
"309";27;345;"27 - Oguzeli";"345 - CAVUSBASI MH.";18669;NA
"310";27;345;"27 - Oguzeli";"345 - BULDUK MH.";18632;NA
"311";27;345;"27 - Oguzeli";"345 - KURTULUS MH.";18640;NA
"312";27;345;"27 - Oguzeli";"345 - DEVEHUYUGU MH.";18672;NA
"313";27;345;"27 - Oguzeli";"345 - GULLUK MH.";18637;NA
"314";27;345;"27 - Oguzeli";"345 - BESDELI MH.";18631;NA
"315";27;345;"27 - Oguzeli";"345 - ASAGI GUNEYSE MH.";18661;NA
"316";27;345;"27 - Oguzeli";"345 - OGUZLAR MH.";18642;NA
"317";27;345;"27 - Oguzeli";"345 - SIH KUCUKKARACAVIRAN MH.";59303;NA
"318";27;345;"27 - Oguzeli";"345 - SUBASI MH.";18644;NA
"319";27;343;"27 - Sahinbey";"343 - KARATARLA MH.";18312;NA
"320";27;343;"27 - Sahinbey";"343 - EYUPOGLU MH.";18310;NA
"321";27;343;"27 - Sahinbey";"343 - ALAYBEY MH.";18306;NA
"322";27;343;"27 - Sahinbey";"343 - SAVCILI MH.";18358;NA
"323";27;343;"27 - Sahinbey";"343 - AYDINBABA MH.";18320;NA
"324";27;343;"27 - Sahinbey";"343 - BEY MH.";18308;NA
"325";27;343;"27 - Sahinbey";"343 - KOZANLI MH.";18313;NA
"326";27;343;"27 - Sahinbey";"343 - KARAGOZ MH.";18401;NA
"327";27;343;"27 - Sahinbey";"343 - TISLAKI MH.";18406;NA
"328";27;343;"27 - Sahinbey";"343 - SUYABATMAZ MH.";18314;NA
"329";27;343;"27 - Sahinbey";"343 - KILINCOGLU MH.";18335;NA
"330";27;343;"27 - Sahinbey";"343 - SEKEROGLU MH.";18405;NA
"331";27;343;"27 - Sahinbey";"343 - SULTAN SELIM MH.";18340;NA
"332";27;343;"27 - Sahinbey";"343 - BOSTANCI MH.";18395;NA
"333";27;343;"27 - Sahinbey";"343 - SAHVELI MH.";18316;NA
"334";27;343;"27 - Sahinbey";"343 - SEFERPASA MH.";18404;NA
"335";27;343;"27 - Sahinbey";"343 - ETILER MH.";18348;NA
"336";27;343;"27 - Sahinbey";"343 - AKYOL MH.";18305;NA
"337";27;343;"27 - Sahinbey";"343 - CABI MH.";18397;NA
"338";27;343;"27 - Sahinbey";"343 - SAKARYA MH.";18357;NA
"339";27;343;"27 - Sahinbey";"343 - CEMAL GURSEL MH.";18324;NA
"340";27;343;"27 - Sahinbey";"343 - UNALDI MH.";18344;NA
"341";27;343;"27 - Sahinbey";"343 - SACAKLI MH.";18339;NA
"342";27;343;"27 - Sahinbey";"343 - TURKTEPE MH.";18407;NA
"343";27;343;"27 - Sahinbey";"343 - KOZLUCA MH.";18403;NA
"344";27;343;"27 - Sahinbey";"343 - SENYURT MH.";18341;NA
"345";27;343;"27 - Sahinbey";"343 - HOSGOR MH.";18351;NA
"346";27;343;"27 - Sahinbey";"343 - KANALICI MH.";18400;NA
"347";27;343;"27 - Sahinbey";"343 - TEKSTILKENT MH.";18385;NA
"348";27;343;"27 - Sahinbey";"343 - YAVUZLAR MH.";18345;NA
"349";27;343;"27 - Sahinbey";"343 - KEPENEK MH.";18402;NA
"350";27;343;"27 - Sahinbey";"343 - INONU MH.";18647;NA
"351";27;343;"27 - Sahinbey";"343 - BEKIRBEY MH.";18381;NA
"352";27;343;"27 - Sahinbey";"343 - ALIBABA MH.";18319;NA
"353";27;343;"27 - Sahinbey";"343 - BOZOKLAR MH.";18382;NA
"354";27;343;"27 - Sahinbey";"343 - YUKARIBAYIR MH.";18362;NA
"355";27;343;"27 - Sahinbey";"343 - BOYACI MH.";18396;NA
"356";27;343;"27 - Sahinbey";"343 - TURAN EMEKSIZ MH.";18360;NA
"357";27;343;"27 - Sahinbey";"343 - BARIS MH.";18321;NA
"358";27;343;"27 - Sahinbey";"343 - UCOKLAR MH.";18391;NA
"359";27;343;"27 - Sahinbey";"343 - KARAYILAN MH.";18334;NA
"360";27;343;"27 - Sahinbey";"343 - DUMLUPINAR MH.";18328;NA
"361";27;343;"27 - Sahinbey";"343 - KIBRIS MH.";18353;NA
"362";27;343;"27 - Sahinbey";"343 - GUMUSTEKIN MH.";18350;NA
"363";27;343;"27 - Sahinbey";"343 - ALLEBEN MH.";18485;NA
"364";27;343;"27 - Sahinbey";"343 - YAZICIK MH.";18409;NA
"365";27;343;"27 - Sahinbey";"343 - DUZTEPE MH.";18329;NA
"366";27;343;"27 - Sahinbey";"343 - KAHVELIPINAR MH.";18352;NA
"367";27;343;"27 - Sahinbey";"343 - CUMHURIYET MH.";19037;NA
